,Combination of important items,Combination Length,occurrences of POS,occurrences of NEG
135,Political Party_B Party ∧ Birthplace = Electoral District_No ∧ Occuation_Public Servant,3,2,13
136,Gender_Female ∧ Birthplace = Electoral District_No ∧ Advocates Welfare/Nursing_No,3,2,29
137,Number of Times Elected<3.0 ∧ Alma Mater_University J,2,2,14
138,Occuation_Actor and Public Figure,1,2,22
139,Gender_Female ∧ Block_Kyushu ∧ Advocates Child Support_No,3,2,1
140,Advocates Pension_No ∧ Alma Mater_University I ∧ Occuation_Cram School Teacher,3,2,1
141,Political Party_A Party ∧ Birthplace = Electoral District_Yes ∧ Hobbies_Painting,3,2,0
142,Block_North Kanto ∧ Decade Born_1970's ∧ Hobbies_Watching movies,3,2,1
143,Political Party_A Party ∧ Decade Born_1960's ∧ Hobbies_Painting,3,2,0
144,Political Party_C Party ∧ Decade Born_1970's ∧ Faculty_Engineering,3,2,0
145,Age>=60.0 ∧ Number of Times Elected<3.0,2,1,26
146,Advocates Employment/Labor_No ∧ Faculty_Law,2,1,27
147,Block_Shikoku ∧ Advocates Welfare/Nursing_Yes,2,1,10
148,Political Party_C Party ∧ Occuation_Company Employee,2,1,14
149,Block_Hokkaido ∧ Birthplace = Electoral District_Yes ∧ Decade Born_1960's,3,1,8
150,Gender_Male ∧ Advocates Pension_Yes ∧ Faculty_Science,3,1,12
151,Gender_Female ∧ Advocates Differing Family Names_No ∧ Decade Born_1960's,3,1,20
152,Political Party_B Party ∧ Advocates Differing Family Names_Yes ∧ Advocates Employment/Labor_No,3,1,17
153,Block_Kyushu ∧ Hereditary Politician_No ∧ Alma Mater_University H,3,1,8
154,Advocates Welfare/Nursing_No ∧ Alma Mater_University D,2,1,18
155,Gender_Female ∧ Hereditary Politician_No ∧ Occuation_Company Employee,3,1,18
156,Age<60.0 ∧ Block_Kyushu ∧ Alma Mater_University H,3,1,8
157,Political Party_Unaffiliated ∧ Advocates Differing Family Names_Yes ∧ Advocates Fiscal Discipline_No,3,1,13
158,Block_Shikoku ∧ Advocates Differing Family Names_No,2,0,9
159,Block_Shikoku ∧ Advocates Healthcare_Yes,2,0,7
160,Birthplace = Electoral District_No ∧ Advocates Child Support_Yes ∧ Decade Born_1960's,3,0,28
161,Political Party_B Party ∧ Block_Tohoku,2,0,25
162,Block_Shikoku ∧ Number of Times Elected>=3.0,2,0,10
163,Number of Times Elected<3.0 ∧ Decade Born_1950's ∧ Alma Mater_University A,3,0,7
164,Political Party_C Party ∧ Block_Tokai ∧ Advocates Welfare/Nursing_Yes,3,0,6
165,Advocates Differing Family Names_No ∧ Faculty_Literature,2,0,12
166,Block_Hokuriku/Shinetsu ∧ Alma Mater_University B,2,0,8
167,Gender_Male ∧ Advocates Pension_No ∧ Hobbies_Watching movies,3,0,16
