Name,Hair/fur,Wings,Oviparous,Flies,Aquatic,Eats meat,Teeth,Spine,Breathes using lungs,Fins,Legs,Tail,Bred by humans,Sized about the same as a cat?,Label
Sparrow,Does not have,Has,Yes,Does,No,No,Does not have,Has,Yes,Does not have,2,Has,Does not have,No,0
Squirrel,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,2,Has,Does not have,No,1
Starfish,Does not have,Does not have,Yes,Does not,Yes,Yes,Does not have,Does not have,No,Does not have,5,Does not have,Does not have,No,0
Stingray,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,No,Has,0,Has,Does not have,Yes,0
Swan,Does not have,Has,Yes,Does,Yes,No,Does not have,Has,Yes,Does not have,2,Has,Does not have,Yes,0
Termites,Does not have,Does not have,Yes,Does not,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Toad,Does not have,Does not have,Yes,Does not,Yes,No,Has,Has,Yes,Does not have,4,Does not have,Does not have,No,0
Turtle,Does not have,Does not have,Yes,Does not,No,No,Does not have,Has,Yes,Does not have,4,Has,Does not have,Yes,0
Tuatara,Does not have,Does not have,Yes,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,No,0
Tuna,Does not have,Does not have,Yes,Does not,Yes,Yes,Has,Has,No,Has,0,Has,Does not have,Yes,0
Bat,Has,Does not have,No,Does,No,No,Has,Has,Yes,Does not have,2,Has,Does not have,No,1
Vole,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,4,Has,Does not have,No,1
Wallaby,Has,Does not have,No,Does not,No,No,Has,Has,Yes,Does not have,2,Has,Does not have,Yes,1
Hornet,Has,Does not have,Yes,Does,No,No,Does not have,Does not have,Yes,Does not have,6,Does not have,Does not have,No,0
Wolf,Has,Does not have,No,Does not,No,Yes,Has,Has,Yes,Does not have,4,Has,Does not have,Yes,1
